	chrom	start	end	gid	gname	tid	strand	biotype	byname.uniq	bygid.uniq
130034	chr3R	10670765	10672459	FBgn0038266	CG3610	FBtr0082994	+	protein_coding	TRUE	TRUE
156769	chr2R	20686321	20687085	FBgn0035069	CG3611	FBtr0072377	+	protein_coding	TRUE	TRUE
101214	chr3L	20806453	20809175	FBgn0037028	CG3618	FBtr0302947	-	protein_coding	TRUE	TRUE
18806	chrX	2066561	2067170	FBgn0025839	CG3621	FBtr0070386	+	protein_coding	TRUE	TRUE
49467	chr2L	283385	291751	FBgn0031245	CG3625	FBtr0113009	-	protein_coding	TRUE	TRUE
142610	chrX	4260452	4265169	FBgn0029706	CG3626	FBtr0070652	+	protein_coding	TRUE	TRUE
158187	chrX	2056229	2066314	FBgn0023540	CG3630	FBtr0310501	+	protein_coding	TRUE	TRUE
22656	chr3R	10705163	10708348	FBgn0038268	CG3631	FBtr0114533	+	protein_coding	TRUE	TRUE
41132	chrX	16190728	16197341	FBgn0030735	CG3632	FBtr0112990	+	protein_coding	TRUE	TRUE
178850	chr3L	20799968	20802347	FBgn0037026	CG3634	FBtr0078272	-	protein_coding	TRUE	TRUE
112389	chr2L	22175415	22183991	FBgn0032981	CG3635	FBtr0299879	+	protein_coding	TRUE	TRUE
10195	chrX	1111116	1130717	FBgn0261444	CG3638	FBtr0330207	-	protein_coding	TRUE	TRUE
176085	chr2R	20527211	20528279	FBgn0035042	CG3640	FBtr0072322	+	protein_coding	TRUE	TRUE
120584	chr2L	252589	271762	FBgn0031238	CG3645	FBtr0078140	-	protein_coding	TRUE	TRUE
96842	chr2R	18733524	18735434	FBgn0034785	CG3649	FBtr0303785	+	protein_coding	TRUE	TRUE
190263	chr2R	20736499	20737284	FBgn0035070	CG3650	FBtr0072380	+	protein_coding	TRUE	TRUE
4362	chr2L	22121840	22126614	FBgn0032974	CG3651	FBtr0331657	+	protein_coding	TRUE	TRUE
19423	chr2L	4392770	4393876	FBgn0031600	CG3652	FBtr0077460	-	protein_coding	TRUE	TRUE
71321	chrX	967074	1028929	FBgn0040397	CG3655	FBtr0113327	-	protein_coding	TRUE	TRUE
128224	chr2L	821422	824337	FBgn0031285	CG3662	FBtr0301908	+	protein_coding	TRUE	TRUE
70683	chr2R	20549047	20549940	FBgn0035044	CG3663	FBtr0072323	+	protein_coding	TRUE	TRUE
48587	chr3R	27083321	27085771	FBgn0039838	CG3669	FBtr0113313	+	protein_coding	TRUE	TRUE
45506	chr3R	12816184	12817589	FBgn0038461	CG3678	FBtr0083376	-	protein_coding	TRUE	TRUE
97003	chrX	16197947	16200957	FBgn0027521	CG3679	FBtr0074222	+	protein_coding	TRUE	TRUE
13019	chr3L	20802769	20806432	FBgn0037027	CG3680	FBtr0331524	+	protein_coding	TRUE	TRUE
123579	chr2R	20551921	20552962	FBgn0035046	CG3683	FBtr0072326	+	protein_coding	TRUE	TRUE
88571	chr2R	12124277	12124986	FBgn0034097	CG3687	FBtr0087132	+	protein_coding	TRUE	TRUE
75625	chr3L	9404138	9406737	FBgn0035987	CG3689	FBtr0110863	+	protein_coding	TRUE	TRUE
78760	chrX	843323	845915	FBgn0040350	CG3690	FBtr0070185	-	protein_coding	TRUE	TRUE
66688	chr3L	20790341	20791475	FBgn0037023	CG3698	FBtr0078273	-	protein_coding	TRUE	TRUE
36540	chrX	840686	841517	FBgn0040349	CG3699	FBtr0070186	-	protein_coding	TRUE	TRUE
142580	chr2R	18776507	18783261	FBgn0034796	CG3700	FBtr0299812	+	protein_coding	TRUE	TRUE
5483	chr2R	18360786	18364775	FBgn0034732	CG3701	FBtr0071839	-	protein_coding	TRUE	TRUE
188930	chr2L	4224650	4227097	FBgn0031590	CG3702	FBtr0077477	-	protein_coding	TRUE	TRUE
121256	chrX	836499	839805	FBgn0040348	CG3703	FBtr0070187	-	protein_coding	TRUE	TRUE
58409	chrX	833203	834838	FBgn0040346	CG3704	FBtr0070188	-	protein_coding	TRUE	TRUE
173411	chrX	824964	826704	FBgn0040342	CG3706	FBtr0070189	-	protein_coding	TRUE	TRUE
65525	chrX	822831	824131	FBgn0040345	CG3708	FBtr0331301	-	protein_coding	TRUE	TRUE
161983	chr2L	153539	155305	FBgn0031227	CG3709	FBtr0078147	-	protein_coding	TRUE	TRUE
188658	chrX	817201	821628	FBgn0040344	CG3711	FBtr0070191	-	protein_coding	TRUE	TRUE
86603	chrX	740204	741190	FBgn0040343	CG3713	FBtr0070195	-	protein_coding	TRUE	TRUE
183992	chr2L	4189497	4198058	FBgn0031589	CG3714	FBtr0077480	-	protein_coding	TRUE	TRUE
72868	chrX	1272741	1274509	FBgn0024986	CG3719	FBtr0070233	-	protein_coding	TRUE	TRUE
144395	chrX	5811210	5835703	FBgn0029824	CG3726	FBtr0070858	+	protein_coding	TRUE	TRUE
190744	chr3R	10715800	10718109	FBgn0038271	CG3731	FBtr0083000	+	protein_coding	TRUE	TRUE
87283	chr2R	18526310	18527668	FBgn0034750	CG3732	FBtr0071936	-	protein_coding	TRUE	TRUE
164092	chr3R	15213581	15215599	FBgn0038700	CG3734	FBtr0083755	+	protein_coding	TRUE	TRUE
16360	chr2R	19824909	19827274	FBgn0034933	CG3735	FBtr0072210	-	protein_coding	TRUE	TRUE
105751	chr3R	15218912	15220911	FBgn0038702	CG3739	FBtr0083757	+	protein_coding	TRUE	TRUE
2656	chrX	1562439	1563330	FBgn0023530	CG3740	FBtr0070283	-	protein_coding	TRUE	TRUE
28328	chr3R	20697503	20702366	FBgn0039240	CG3744	FBtr0084725	-	protein_coding	TRUE	TRUE
102239	chr2R	18536623	18537251	FBgn0034755	CG3746	FBtr0071929	-	protein_coding	TRUE	TRUE
78329	chr2L	9342832	9344491	FBgn0032110	CG3748	FBtr0079803	+	protein_coding	TRUE	TRUE
62654	chr2L	4969004	4970216	FBgn0031657	CG3756	FBtr0078994	+	protein_coding	TRUE	TRUE
38950	chr2L	9416593	9426342	FBgn0032116	CG3759	FBtr0303897	+	protein_coding	TRUE	TRUE
14952	chr2R	20825784	20827292	FBgn0022343	CG3760	FBtr0309242	+	protein_coding	TRUE	TRUE
26111	chr3L	16987817	17005665	FBgn0036684	CG3764	FBtr0321285	-	protein_coding	TRUE	TRUE
42646	chr2L	9435399	9436842	FBgn0032119	CG3769	FBtr0079810	+	protein_coding	TRUE	TRUE
61598	chr2R	20832666	20834159	FBgn0035085	CG3770	FBtr0072393	+	protein_coding	TRUE	TRUE
89152	chr3R	15055215	15056554	FBgn0038692	CG3773	FBtr0083737	+	protein_coding	TRUE	TRUE
84727	chrX	12695694	12698265	FBgn0030425	CG3775	FBtr0073690	+	protein_coding	TRUE	TRUE
105162	chr2R	20857296	20858383	FBgn0035088	CG3776	FBtr0072395	+	protein_coding	TRUE	TRUE
150408	chrX	173736	244237	FBgn0024989	CG3777	FBtr0070066	+	protein_coding	TRUE	TRUE
46595	chrX	6155202	6156152	FBgn0029853	CG3781	FBtr0070895	+	protein_coding	TRUE	TRUE
71282	chr2R	18819558	18821600	FBgn0034800	CG3788	FBtr0303465	-	protein_coding	TRUE	TRUE
30898	chr2R	8760292	8762517	FBgn0033778	CG3790	FBtr0087815	-	protein_coding	TRUE	TRUE
30339	chr2L	4977312	4978567	FBgn0031662	CG3792	FBtr0078997	+	protein_coding	TRUE	TRUE
11563	chr2L	15764220	15766267	FBgn0028507	CG3793	FBtr0305560	+	protein_coding	TRUE	TRUE
23839	chrX	1602971	1604196	FBgn0025378	CG3795	FBtr0070278	-	protein_coding	TRUE	TRUE
160365	chr3L	19052872	19055916	FBgn0036842	CG3797	FBtr0075037	-	protein_coding	TRUE	TRUE
35512	chr2R	18822092	18824453	FBgn0034802	CG3800	FBtr0071994	-	protein_coding	TRUE	TRUE
105757	chr2R	19840036	19841562	FBgn0034938	CG3803	FBtr0072208	-	protein_coding	TRUE	TRUE
58071	chr3L	18990975	18993708	FBgn0036838	CG3808	FBtr0075041	-	protein_coding	TRUE	TRUE
132563	chr3R	8023663	8025195	FBgn0037995	CG3809	FBtr0082545	+	protein_coding	TRUE	TRUE
133182	chrX	12659299	12666884	FBgn0030421	CG3812	FBtr0073689	+	protein_coding	TRUE	TRUE
58621	chr2R	8762669	8764471	FBgn0025692	CG3814	FBtr0087813	-	protein_coding	TRUE	TRUE
67508	chrX	6189424	6193006	FBgn0029861	CG3815	FBtr0070899	+	protein_coding	TRUE	TRUE
136144	chr3R	10724435	10725339	FBgn0038275	CG3817	FBtr0083003	+	protein_coding	TRUE	TRUE
72457	chr3L	18913530	18915208	FBgn0036833	CG3819	FBtr0333710	-	protein_coding	TRUE	TRUE
155984	chr3R	16685904	16691951	FBgn0038837	CG3822	FBtr0083987	-	protein_coding	TRUE	TRUE
140333	chrX	6198023	6200778	FBgn0029863	CG3823	FBtr0070900	+	protein_coding	TRUE	TRUE
97054	chr2R	20873478	20878012	FBgn0035091	CG3829	FBtr0072396	+	protein_coding	TRUE	TRUE
13879	chr2R	18826510	18828633	FBgn0034804	CG3831	FBtr0310325	-	protein_coding	TRUE	TRUE
47628	chrX	2035522	2038970	FBgn0023507	CG3835	FBtr0070382	+	protein_coding	TRUE	TRUE
103002	chr3R	10744402	10748027	FBgn0038279	CG3837	FBtr0083004	+	protein_coding	TRUE	TRUE
94046	chr2L	9568892	9573572	FBgn0032130	CG3838	FBtr0079834	+	protein_coding	TRUE	TRUE
152374	chr2L	9589476	9591783	FBgn0032131	CG3841	FBtr0303250	+	protein_coding	TRUE	TRUE
76795	chrX	6232400	6237764	FBgn0029866	CG3842	FBtr0331395	+	protein_coding	TRUE	TRUE
183198	chrX	6241136	6243273	FBgn0029867	CG3847	FBtr0070905	+	protein_coding	TRUE	TRUE
166495	chrX	1831733	1834073	FBgn0023520	CG3857	FBtr0070349	-	protein_coding	TRUE	TRUE
87287	chr2R	19879661	19882573	FBgn0034951	CG3860	FBtr0072201	-	protein_coding	TRUE	TRUE
162744	chr2L	824329	825861	FBgn0031286	CG3862	FBtr0078038	-	protein_coding	TRUE	TRUE
164711	chr3L	14393869	14395825	FBgn0036422	CG3868	FBtr0075729	-	protein_coding	TRUE	TRUE
41994	chr2L	818079	819508	FBgn0031284	CG3876	FBtr0078039	-	protein_coding	TRUE	TRUE
45041	chr2R	20648185	20650128	FBgn0035057	CG3880	FBtr0072371	+	protein_coding	TRUE	TRUE
14381	chr2R	8835853	8839791	FBgn0033786	CG3884	FBtr0087800	-	protein_coding	TRUE	TRUE
173618	chr2L	5010922	5012127	FBgn0031670	CG3887	FBtr0332412	+	protein_coding	TRUE	TRUE
30865	chr3L	18893695	18894654	FBgn0036826	CG3893	FBtr0075075	-	protein_coding	TRUE	TRUE
5268	chr2R	20650687	20654273	FBgn0035059	CG3894	FBtr0300130	+	protein_coding	TRUE	TRUE
111721	chr3L	18886220	18891393	FBgn0036824	CG3902	FBtr0075076	-	protein_coding	TRUE	TRUE
41858	chr2R	19398809	19399748	FBgn0034871	CG3906	FBtr0072121	-	protein_coding	TRUE	TRUE
171051	chr2R	19907421	19909779	FBgn0034958	CG3907	FBtr0072195	-	protein_coding	TRUE	TRUE
161237	chr3R	5868980	5870328	FBgn0027524	CG3909	FBtr0082172	+	protein_coding	TRUE	TRUE
126123	chr3R	8055178	8056041	FBgn0038003	CG3916	FBtr0082560	+	protein_coding	TRUE	TRUE
10335	chrX	6418497	6420375	FBgn0029873	CG3918	FBtr0070912	+	protein_coding	TRUE	TRUE
84139	chr3L	14403726	14405832	FBgn0036423	CG3919	FBtr0333040	+	protein_coding	TRUE	TRUE
12797	chr2L	3787168	3802509	FBgn0031571	CG3921	FBtr0307051	+	protein_coding	TRUE	TRUE
41818	chr3R	5874889	5877249	FBgn0037780	CG3925	FBtr0082174	+	protein_coding	TRUE	TRUE
175848	chr2R	18482193	18483858	FBgn0034739	CG3927	FBtr0071853	+	protein_coding	TRUE	TRUE
153708	chrX	3069152	3070256	FBgn0040396	CG3939	FBtr0070508	+	protein_coding	TRUE	TRUE
104188	chr3R	5938268	5945142	FBgn0037788	CG3940	FBtr0082179	+	protein_coding	TRUE	TRUE
151752	chr3R	8079909	8082314	FBgn0038008	CG3942	FBtr0082561	+	protein_coding	TRUE	TRUE
99473	chr2R	9015417	9016559	FBgn0033793	CG3955	FBtr0087780	-	protein_coding	TRUE	TRUE
32669	chr3L	18871350	18883583	FBgn0036821	CG3961	FBtr0075077	-	protein_coding	TRUE	TRUE
152569	chr2L	3862681	3867507	FBgn0031574	CG3964	FBtr0077501	+	protein_coding	TRUE	TRUE
162193	chr3L	9406696	9419777	FBgn0035989	CG3967	FBtr0076481	-	protein_coding	TRUE	TRUE
52522	chr3L	9408855	9410488	FBgn0035988	CG3982	FBtr0076485	-	protein_coding	TRUE	TRUE
61379	chr3R	10962870	10964626	FBgn0038291	CG3984	FBtr0083025	+	protein_coding	TRUE	TRUE
146807	chr3R	10965680	10967437	FBgn0038292	CG3987	FBtr0083026	+	protein_coding	TRUE	TRUE
94014	chr3R	12867618	12868826	FBgn0038472	CG3995	FBtr0083428	-	protein_coding	TRUE	TRUE
19735	chr3R	6077241	6080990	FBgn0037801	CG3999	FBtr0082225	+	protein_coding	TRUE	TRUE
105719	chr3R	16501946	16503074	FBgn0038820	CG4000	FBtr0083935	-	protein_coding	TRUE	TRUE
56358	chr3LHet	459586	460458	FBgn0058002	CG40002	FBtr0113773	+	protein_coding	TRUE	TRUE
104827	chr2L	22841770	22843208	FBgn0058005	CG40005	FBtr0308291	-	protein_coding	TRUE	TRUE
97851	chr2L	22515149	22649081	FBgn0058006	CG40006	FBtr0111230	-	protein_coding	TRUE	TRUE
138250	chrX	12638497	12643818	FBgn0030418	CG4004	FBtr0073686	+	protein_coding	TRUE	TRUE
110434	chr2LHet	167980	169093	FBgn0058042	CG40042	FBtr0113781	-	protein_coding	TRUE	TRUE
59922	chr3L	24021615	24028959	FBgn0058045	CG40045	FBtr0331586	+	protein_coding	TRUE	TRUE
150485	chr3L	24003031	24004463	FBgn0058053	CG40053	FBtr0111154	-	protein_coding	TRUE	TRUE
107636	chr3R	12859438	12861767	FBgn0038469	CG4009	FBtr0305130	-	protein_coding	TRUE	TRUE
179627	chr2R	74991	75661	FBgn0262116	CG40127	FBtr0111266	-	protein_coding	TRUE	TRUE
115841	chr3RHet	1042	92187	FBgn0058155	CG40155	FBtr0302251	-	protein_coding	TRUE	TRUE
152863	chr3LHet	1562357	1575983	FBgn0058160	CG40160	FBtr0333380	+	protein_coding	TRUE	TRUE
101260	chr2L	9767059	9768727	FBgn0032143	CG4017	FBtr0079867	+	protein_coding	TRUE	TRUE
9718	chr2L	20249162	20249371	FBgn0058172	CG40172	FBtr0299948	-	protein_coding	TRUE	TRUE
109254	chr3LHet	1181140	1396811	FBgn0058178	CG40178	FBtr0113818	-	protein_coding	TRUE	TRUE
3266	chrU	2232251	2234180	FBgn0058188	CG40188	FBtr0302217	+	protein_coding	TRUE	TRUE
70794	chr2R	19495115	19502269	FBgn0034885	CG4019	FBtr0072102	-	protein_coding	TRUE	TRUE
168484	chr2RHet	390776	392982	FBgn0058191	CG40191	FBtr0113827	+	protein_coding	TRUE	TRUE
87733	chr3RHet	2504376	2506001	FBgn0058198	CG40198	FBtr0333189	-	protein_coding	TRUE	TRUE
172329	chrX	5799779	5802034	FBgn0029821	CG4020	FBtr0333800	+	protein_coding	TRUE	TRUE
132453	chrU	497150	497545	FBgn0058204	CG40204	FBtr0302255	+	protein_coding	TRUE	TRUE
150823	chr2R	17660852	17662381	FBgn0034659	CG4021	FBtr0071716	+	protein_coding	TRUE	TRUE
159204	chr3L	9399279	9403932	FBgn0035986	CG4022	FBtr0309089	-	protein_coding	TRUE	TRUE
112397	chr3LHet	2188916	2190731	FBgn0063670	CG40228	FBtr0113841	-	protein_coding	TRUE	TRUE
31675	chrU	687849	688458	FBgn0058245	CG40245	FBtr0302520	-	protein_coding	TRUE	TRUE
95302	chrU	963319	963864	FBgn0058249	CG40249	FBtr0302216	-	protein_coding	TRUE	TRUE
71148	chrX	1970999	1972488	FBgn0025624	CG4025	FBtr0070375	+	protein_coding	TRUE	TRUE
127010	chr3L	23719929	23721089	FBgn0058298	CG40298	FBtr0111169	+	protein_coding	TRUE	TRUE
120687	chr2R	16975888	16978507	FBgn0034585	CG4030	FBtr0071640	-	protein_coding	TRUE	TRUE
14447	chr2L	20248223	20248617	FBgn0259996	CG40341	FBtr0302056	+	protein_coding	TRUE	TRUE
5081	chr2L	9790667	9791958	FBgn0032149	CG4036	FBtr0303448	+	protein_coding	TRUE	TRUE
143747	chrU	72264	219522	FBgn0058378	CG40378	FBtr0302337	+	protein_coding	TRUE	TRUE
187380	chr2R	16983447	16984808	FBgn0011824	CG4038	FBtr0071639	-	protein_coding	TRUE	TRUE
28282	chrX	4809313	4812478	FBgn0029736	CG4041	FBtr0300998	-	protein_coding	TRUE	TRUE
92600	chr3L	20763243	20764607	FBgn0037018	CG4042	FBtr0321286	-	protein_coding	TRUE	TRUE
65478	chr2L	22690251	22691008	FBgn0058439	CG40439	FBtr0111233	-	protein_coding	TRUE	TRUE
115346	chrX	1968828	1969933	FBgn0025629	CG4045	FBtr0070331	-	protein_coding	TRUE	TRUE
41074	chr3LHet	722418	789756	FBgn0069977	CG40467	FBtr0301118	-	protein_coding	TRUE	TRUE
7643	chr3L	23832960	23979510	FBgn0058470	CG40470	FBtr0111152	-	protein_coding	TRUE	TRUE
105081	chr3LHet	410462	411042	FBgn0085736	CG40472	FBtr0302233	+	protein_coding	TRUE	TRUE
86944	chrX	22362445	22364196	FBgn0069973	CG40485	FBtr0111189	-	protein_coding	TRUE	TRUE
169577	chrX	22360712	22361912	FBgn0263830	CG40486	FBtr0111188	-	protein_coding	TRUE	TRUE
4974	chr2R	19995429	20001793	FBgn0034976	CG4049	FBtr0072285	-	protein_coding	TRUE	TRUE
63488	chr2RHet	52811	78190	FBgn0069969	CG40498	FBtr0302340	-	protein_coding	TRUE	TRUE
184294	chr2R	17011233	17015995	FBgn0020312	CG4050	FBtr0071637	-	protein_coding	TRUE	TRUE
179815	chr3R	12957018	12957878	FBgn0038482	CG4053	FBtr0303413	-	protein_coding	TRUE	TRUE
170310	chrU	2791979	2792692	FBgn0085496	CG40551	FBtr0302523	+	protein_coding	TRUE	TRUE
46767	chrU	4408205	4409285	FBgn0085498	CG40583	FBtr0302524	-	protein_coding	TRUE	TRUE
48808	chrX	1966446	1968923	FBgn0025630	CG4061	FBtr0070330	+	protein_coding	TRUE	TRUE
138952	chrU	5507806	5511925	FBgn0085503	CG40625	FBtr0302234	+	protein_coding	TRUE	TRUE
19491	chrU	9363780	9364097	FBgn0085506	CG40635	FBtr0302344	-	protein_coding	TRUE	TRUE
48605	chr2R	20022696	20025561	FBgn0034982	CG4065	FBtr0100398	-	protein_coding	TRUE	TRUE
176092	chr3R	8137075	8138841	FBgn0038011	CG4066	FBtr0082566	+	protein_coding	TRUE	TRUE
12615	chrX	4820697	4832133	FBgn0029738	CG4068	FBtr0112948	-	protein_coding	TRUE	TRUE
147786	chr3L	12528526	12530415	FBgn0036301	CG4069	FBtr0075965	-	protein_coding	TRUE	TRUE
73680	chr3R	6540520	6541621	FBgn0037827	CG4073	FBtr0082269	+	protein_coding	TRUE	TRUE
172638	chr3L	20761442	20762582	FBgn0037017	CG4074	FBtr0078280	-	protein_coding	TRUE	TRUE
122454	chrX	5641780	5646110	FBgn0029798	CG4078	FBtr0332398	+	protein_coding	TRUE	TRUE
139066	chr3L	9379927	9392327	FBgn0035983	CG4080	FBtr0309506	-	protein_coding	TRUE	TRUE
3228	chrU	2929199	2929912	FBgn0085520	CG40801	FBtr0113933	-	protein_coding	TRUE	TRUE
82303	chrU	3136262	3136976	FBgn0085521	CG40813	FBtr0113934	+	protein_coding	TRUE	TRUE
117866	chr3R	6641013	6643214	FBgn0037838	CG4089	FBtr0082281	+	protein_coding	TRUE	TRUE
89291	chr2R	19586469	19589924	FBgn0034894	CG4091	FBtr0072096	-	protein_coding	TRUE	TRUE
119133	chrU	7128246	7130720	FBgn0085538	CG40930	FBtr0302237	+	protein_coding	TRUE	TRUE
7744	chrU	8041127	8041761	FBgn0085539	CG40936	FBtr0302345	+	protein_coding	TRUE	TRUE
38747	chrU	8664363	8664965	FBgn0085541	CG40948	FBtr0302240	-	protein_coding	TRUE	TRUE
188496	chrX	6575788	6577729	FBgn0029890	CG4095	FBtr0070955	+	protein_coding	TRUE	TRUE
130350	chrX	5592590	5602666	FBgn0029791	CG4096	FBtr0301083	+	protein_coding	TRUE	TRUE
149238	chrU	6306888	6307959	FBgn0085546	CG40968	FBtr0302238	+	protein_coding	TRUE	TRUE
96629	chr3L	16601238	16602447	FBgn0036648	CG4098	FBtr0075361	-	protein_coding	TRUE	TRUE
164546	chrU	5052167	5053192	FBgn0085550	CG40992	FBtr0302343	-	protein_coding	TRUE	TRUE
151068	chr3L	16605586	16606050	FBgn0025558	CG4101	FBtr0075314	+	protein_coding	TRUE	TRUE
104195	chrU	7798899	7799863	FBgn0085556	CG41020	FBtr0302525	+	protein_coding	TRUE	TRUE
121790	chr3RHet	1130828	1310687	FBgn0058232	CG41056	FBtr0302220	-	protein_coding	TRUE	TRUE
92917	chrU	2089457	2090079	FBgn0069947	CG41087	FBtr0301119	-	protein_coding	TRUE	TRUE
82130	chr3RHet	1685112	1706064	FBgn0039955	CG41099	FBtr0113990	-	protein_coding	TRUE	TRUE
26453	chrX	22347157	22348177	FBgn0069938	CG41106	FBtr0111194	+	protein_coding	TRUE	TRUE
149183	chr3RHet	1806528	1808475	FBgn0069923	CG41128	FBtr0301812	-	protein_coding	TRUE	TRUE
38110	chr3R	8185733	8188975	FBgn0038017	CG4115	FBtr0082568	+	protein_coding	TRUE	TRUE
44960	chrX	2960648	2961595	FBgn0029649	CG4116	FBtr0070561	-	protein_coding	TRUE	TRUE
152866	chrX	5560127	5564586	FBgn0028474	CG4119	FBtr0070799	+	protein_coding	TRUE	TRUE
28627	chr2RHet	2157432	2157977	FBgn0085569	CG41242	FBtr0301782	-	protein_coding	TRUE	TRUE
25568	chr2RHet	197371	198033	FBgn0085582	CG41257	FBtr0114025	-	protein_coding	TRUE	TRUE
133047	chr3RHet	1016923	1017221	FBgn0085597	CG41281	FBtr0302257	+	protein_coding	TRUE	TRUE
61611	chr3LHet	1645810	1652912	FBgn0085599	CG41284	FBtr0301798	-	protein_coding	TRUE	TRUE
114142	chr3LHet	1532480	1545940	FBgn0085612	CG41320	FBtr0114056	+	protein_coding	TRUE	TRUE
23653	chr2L	455531	458745	FBgn0031257	CG4133	FBtr0331230	+	protein_coding	TRUE	TRUE
87773	chr3LHet	911483	1053679	FBgn0085625	CG41343	FBtr0301120	-	protein_coding	TRUE	TRUE
521	chrU	2759596	2760405	FBgn0085633	CG41367	FBtr0302235	-	protein_coding	TRUE	TRUE
39272	chr2RHet	1545386	1621672	FBgn0085638	CG41378	FBtr0301792	-	protein_coding	TRUE	TRUE
152054	chrU	2927697	2928954	FBgn0085644	CG41423	FBtr0114088	+	protein_coding	TRUE	TRUE
80816	chr2L	22037860	22039772	FBgn0084001	CG41434	FBtr0332200	+	protein_coding	TRUE	TRUE
92689	chr3L	23130645	23133073	FBgn0084017	CG41454	FBtr0111173	+	protein_coding	TRUE	TRUE
186791	chrU	1683806	1684225	FBgn0085658	CG41497	FBtr0114103	-	protein_coding	TRUE	TRUE
108873	chrYHet	305269	307004	FBgn0085787	CG41503	FBtr0302230	+	protein_coding	TRUE	TRUE
144004	chrX	5395865	5396608	FBgn0029770	CG4151	FBtr0070779	+	protein_coding	TRUE	TRUE
131870	chrU	2334098	2334341	FBgn0085663	CG41518	FBtr0302253	-	protein_coding	TRUE	TRUE
14132	chrU	1242085	1369506	FBgn0087011	CG41520	FBtr0302582	+	protein_coding	TRUE	TRUE
33381	chrU	3398111	3398437	FBgn0085670	CG41527	FBtr0302258	+	protein_coding	TRUE	TRUE
102265	chrU	4051664	4052829	FBgn0085692	CG41561	FBtr0114141	-	protein_coding	TRUE	TRUE
15158	chrU	5467096	5467810	FBgn0085693	CG41562	FBtr0114142	+	protein_coding	TRUE	TRUE
39484	chr3R	16416746	16418393	FBgn0038811	CG4159	FBtr0302323	-	protein_coding	TRUE	TRUE
139273	chr2L	15433362	15435250	FBgn0028892	CG4161	FBtr0080735	+	protein_coding	TRUE	TRUE
154345	chr2L	453108	454654	FBgn0031256	CG4164	FBtr0078060	+	protein_coding	TRUE	TRUE
24126	chrX	5315563	5320941	FBgn0029763	CG4165	FBtr0070772	+	protein_coding	TRUE	TRUE
94769	chr2L	15162122	15200409	FBgn0028888	CG4168	FBtr0305559	-	protein_coding	TRUE	TRUE
61077	chr3L	16577224	16579211	FBgn0250814	CG4169	FBtr0075309	+	protein_coding	TRUE	TRUE
29293	chr3L	18593250	18611043	FBgn0036793	CG4174	FBtr0100566	-	protein_coding	TRUE	TRUE
135246	chr3L	20762686	20763180	FBgn0040634	CG4186	FBtr0078246	+	protein_coding	TRUE	TRUE
143026	chrX	1962627	1963721	FBgn0025627	CG4194	FBtr0070328	+	protein_coding	TRUE	TRUE
172666	chrX	5207299	5209268	FBgn0029753	CG4198	FBtr0070750	+	protein_coding	TRUE	TRUE
9252	chrX	1960468	1967511	FBgn0025628	CG4199	FBtr0300254	-	protein_coding	TRUE	TRUE
31092	chr3R	11034916	11037069	FBgn0038300	CG4203	FBtr0083048	+	protein_coding	TRUE	TRUE
125990	chr3R	11039696	11040567	FBgn0038302	CG4210	FBtr0309248	+	protein_coding	TRUE	TRUE
127608	chr2L	396595	402198	FBgn0031251	CG4213	FBtr0078093	-	protein_coding	TRUE	TRUE
116223	chr2L	14547520	14549075	FBgn0250844	CG4218	FBtr0080662	-	protein_coding	TRUE	TRUE
165032	chr3R	11746620	11758609	FBgn0038385	CG4221	FBtr0083201	+	protein_coding	TRUE	TRUE
42619	chr2L	16342426	16352600	FBgn0087041	CG42231	FBtr0273183	-	protein_coding	TRUE	TRUE
108354	chr3R	12283984	12295350	FBgn0250754	CG42232	FBtr0290134	-	protein_coding	TRUE	TRUE
166282	chr3R	27625356	27630878	FBgn0250755	CG42233	FBtr0290135	-	protein_coding	TRUE	TRUE
132288	chr3R	21732752	21746768	FBgn0250757	CG42235	FBtr0290138	+	protein_coding	TRUE	TRUE
83506	chrX	13009170	13017100	FBgn0250862	CG42237	FBtr0073722	+	protein_coding	TRUE	TRUE
59848	chr2L	20965520	21052164	FBgn0250867	CG42238	FBtr0331199	-	protein_coding	TRUE	TRUE
548	chr2R	13460335	13460984	FBgn0250868	CG42239	FBtr0329861	+	protein_coding	TRUE	TRUE
136898	chrX	6224891	6226783	FBgn0250869	CG42240	FBtr0290308	+	protein_coding	TRUE	TRUE
166077	chr2R	19559985	19561421	FBgn0250870	CG42241	FBtr0290304	+	protein_coding	TRUE	TRUE
159653	chr3L	2631715	2641984	FBgn0250911	CG42245	FBtr0290341	+	protein_coding	TRUE	TRUE
46603	chrX	7305300	7305939	FBgn0259098	CG42246	FBtr0299508	-	protein_coding	TRUE	TRUE
97621	chrX	10990306	11002181	FBgn0259101	CG42249	FBtr0299514	+	protein_coding	TRUE	TRUE
108683	chr2R	10657104	10658804	FBgn0259112	CG42254	FBtr0305590	-	protein_coding	TRUE	TRUE
183051	chr3L	11795051	11807855	FBgn0259140	CG42255	FBtr0332131	-	protein_coding	TRUE	TRUE
29560	chrX	12358132	12371539	FBgn0259143	CG42258	FBtr0299558	+	protein_coding	TRUE	TRUE
139736	chrX	940257	941042	FBgn0259144	CG42259	FBtr0299571	+	protein_coding	TRUE	TRUE
185064	chr2R	18628504	18685794	FBgn0259145	CG42260	FBtr0299573	-	protein_coding	TRUE	TRUE
